Sequence;Res. Type;Block Size;Table Size;Acum. Ori.;Acum. Cod.;Comp. Rate;Max. Comp.;St. Dev.;Oco. In;Oco. Out; Oco. Ori;Oco. Tot.;En. In;En. Out;En. Ori.;En. Tot;Time;
/home/dieison/Pesquisa/videos/1920x1080/reconstructed/22_fast_rec_BasketballDrive_1920x1080_50;Double;64;64;2069452800; 430968397;79.1748;82.1807;3.6519;258614186;49;67365;258681600;1.4238;18.0000;8.0000;1.4255;       9.365;
/home/dieison/Pesquisa/videos/1920x1080/reconstructed/27_fast_rec_BasketballDrive_1920x1080_50;Double;64;64;2069452800; 409370141;80.2184;83.7388;3.6794;258614205;30;67365;258681600;1.2992;18.0000;8.0000;1.3009;       9.400;
