Sequence;Res. Type;Block Size;Table Size;Acum. Ori.;Acum. Cod.;Comp. Rate;Max. Comp.;St. Dev.;Oco. In;Oco. Out; Oco. Ori;Oco. Tot.;En. In;En. Out;En. Ori.;En. Tot;Time;
/home/dieison/Pesquisa/videos/1920x1080/reconstructed/22_fast_rec_BasketballDrive_1920x1080_50;Double;64;64;2069452800; 444748166;78.5089;81.1380;3.6701;258614120;115;67365;258681600;1.5073;18.0000;8.0000;1.5090;       9.365;
/home/dieison/Pesquisa/videos/1920x1080/reconstructed/27_fast_rec_BasketballDrive_1920x1080_50;Double;64;64;2069452800; 431436249;79.1522;82.0518;3.6906;258614173;62;67365;258681600;1.4341;18.0000;8.0000;1.4359;       9.400;
